Instrument,Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (%),Proceeds Amount Incl Overallotment Sold All Markets,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Issuer/Borrower TRBC Economic Sector,Bookrunner Or Co-Managers,Master Deal Type,New Issues Offer Price,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Adjusted Offer Price,Stock Price at Close of Issue Date,Issuer Stock Price 1 Day Prior to Filing Date,ISIN,Financials: Price Earnings Ratio Before Offering Percent,Financials: Price/Book Value Before Offer,Financials: Price/Book Value After Offer,Financials: EBITDA Before Offering Host Currency,New Issues Date Company Founded
154084678174,154084678174,129105,UKC,BM|CM,BM|CM,1997-02-18,Screen PLC,,IPO,Live,United Kingdom,,,1.815,London AIM,Ordinary Or Common Shares,Offer for Subscription,3.00000,Industrials,Not Available,UK Common Stock,0.03,3.0,0.048,,,,,,,,
154084678175,154084678175,129107,UKC,BM|CM,BM|CM,1997-02-18,VFG PLC,4295895628,IPO,Live,United Kingdom,,,3.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,3.00000,Technology,Not Available,UK Common Stock,0.4,3.0,,,,,6.693,,,1.2,
154084678202,154084678202,129333,EC,BM|JL|CL|CL|CM|CM|CM,BM|JL|CL|CL|CM|CM|CM,1997-03-10,Ramco Energy PLC,4295893810,IPO,Live,United Kingdom,1997-02-20,,88.0,London AIM|American,Ordinary Or Common Shares,Placement,6.25000,Energy,JP Morgan Securities Ltd (United Kingdom)|UBS Ltd|Credit Suisse First Boston Ltd|Howard Weil Labouisse Friedrichs Inc,Euro & Foreign Common Stock,17.6,6.25,,,,GB0007219479,,16.633,4.53,2.1,1/1/1977 12:00:00 AM
154084678315,154084678315,127874,UKC,BM,BM,1996-10-11,Jardinerie Interiors PLC,4295895195,IPO,Live,United Kingdom,,,4.275,London AIM,Ordinary Or Common Shares,Placement,2.00000,Consumer Non-Cyclicals,Deloitte and Touche Corporate Finance,UK Common Stock,1.14,2.0,,,,,,37.806,2.324,0.2,
154084678414,154084678414,127418,UKC,BM,BM,1996-08-09,Barbican Healthcare PLC (Pacific Healthcare Ltd),4295895067,IPO,Live,United Kingdom,,,2.99999958,London AIM,Ordinary Or Common Shares,Placement,na,Healthcare,Peel Hunt & Co Ltd,UK Common Stock,0.62,-999.0,,,,,,,,,
154084678429,154084678429,127054,UKC,BM|CM,BM|CM,1996-07-02,Pordum Foods PLC,4295895269,IPO,Live,United Kingdom,1996-07-02,,0.855,London AIM,Ordinary Or Common Shares,Placement|Offer for Subscription,3.00000,Financials,Wise Speke Ltd (United Kingdom),UK Common Stock,0.03,3.0,,,,GB0006950751,-12.635,-5822.354,7.776,-0.1,
154084678452,154084678452,126744,UKC,BM,BM,1996-06-14,IES Group PLC,4295895192,IPO,Live,United Kingdom,,,0.5016,London AIM,Ordinary Or Common Shares,Placement,na,Industrials,Rowan Dartington & Co Ltd,UK Common Stock,2.85,-999.0,,,,,,,,,
154084678511,154084678511,127104,UKC,BM,BM,1996-07-06,Lotteryking Holdings PLC,4295895211,IPO,Live,United Kingdom,,,1.53,London AIM,Ordinary Or Common Shares,Placement,3.00000,Consumer Cyclicals,Not Available,UK Common Stock,0.03,3.0,,,,,,,,,
154084678570,154084678570,127507,UKC,BM,BM,1996-08-29,PolyDoc PLC,4295895256,IPO,Live,United Kingdom,,,3.00000025,AmsterExch|London AIM,Ordinary Or Common Shares,Placement,4.00000,Technology,Bell Lawrie White & Co,UK Common Stock,0.65,4.0,,,,,,,,,
154084678645,154084678645,127385,UKC,BM|CM,BM|CM,1996-08-06,Dentmaster Holdings PLC,5000329648,IPO,Live,United Kingdom,,,1.17500004,London AIM,Ordinary Or Common Shares,Placement,3.00000,Consumer Cyclicals,Neill Clerk Capital Limited,UK Common Stock,0.03,3.0,,,,,,546.694,8.787,0.8,4/1/1996 12:00:00 AM
154084678701,154084678701,127405,UKC,BM|CM,BM|CM,1996-08-27,London & Edinburgh Publishing PLC,4295895222,IPO,Live,United Kingdom,,,1.3916242,London AIM,Ordinary Or Common Shares,Placement,2.00000,Consumer Cyclicals,John East & Partners Ltd,UK Common Stock,0.1,2.0,,,,,,,,,
154084678720,154084678720,128131,UKC,BM,BM,1996-11-04,Beaufort Group PLC,4295895073,IPO,Live,United Kingdom,,,1.25000004,London AIM,Ordinary Or Common Shares,Placement,3.00000,Industrials,Smith & Williamson Group,UK Common Stock,0.03,3.0,,,,,,,,,7/11/1995 12:00:00 AM
154084679000,154084679000,129013,UKC,BM,BM,1997-02-05,Close Brothers Venture Capital Trust PLC,5000053964,IPO,Live,United Kingdom,,,40.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Brewin Dolphin Bell Lawrie Ltd,UK Common Stock,1.0,-999.0,,,,,,,,,
154084679039,154084679039,128369,UKC,BM,BM,1996-11-22,Yeoman Group PLC,4295896483,IPO,Live,United Kingdom,,,3.7500015,London AIM,Ordinary Or Common Shares,Placement,3.78000,Industrials,Bell Lawrie White & Co,UK Common Stock,1.75,3.78,,,,,,,,,
154084679076,154084679076,130739,UKC,BM|CM,BM|CM,1997-07-11,Cafe Inns PLC,4296445884,IPO,Live,United Kingdom,,,2.4199992,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Consumer Cyclicals,Not Available,UK Common Stock,1.8,-999.0,3.045,,,GB0001616514,,,,,
154084679330,154084679330,129260,UKC,BM,BM,1997-03-05,Dobbies Garden Centres Ltd,4295895124,IPO,Live,United Kingdom,,,2.5,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Not Available,UK Common Stock,2.0,-999.0,3.228,,,,,2.473,1.54,1.5,
154084679515,154084679515,128149,UKC,BM|CM,BM|CM,1996-11-05,On-Line PLC,4295895235,IPO,Live,United Kingdom,,,1.2,London AIM,Ordinary Or Common Shares,Placement,6.00000,Financials,I A Pritchard Stockbrokers Limited,UK Common Stock,1.0,6.0,,,,,,,,,1/1/1989 12:00:00 AM
154084679669,154084679669,128618,UKC,BM|CM,BM|CM,1996-12-12,Fountain Forestry Holdings PLC,4295895175,IPO,Live,United Kingdom,,,2.25,London AIM,Ordinary Or Common Shares,Offer for Subscription,2.50000,Basic Materials,Coopers & Lybrand Corporate Finance,UK Common Stock,0.75,2.5,,,,,,,,,
154084679682,154084679682,128259,UKC,BM,BM,1996-11-15,Oxford BioMedica PLC,4295895244,IPO,Live,United Kingdom,,,11.0,London AIM,Ordinary Or Common Shares,Placement,1.00000,Healthcare,Teather & Greenwood Ltd,UK Common Stock,0.88,1.0,1.174,,,,,,,,9/20/1996 12:00:00 AM
154084679683,154084679683,128263,UKC,BM|CM,BM|CM,1996-11-15,Snakeboard International PLC,4295895318,IPO,Live,United Kingdom,,,3.10000008,London AIM,Ordinary Or Common Shares,Placement,3.26667,Consumer Cyclicals,Neill Clerk Capital Limited,UK Common Stock,0.03,3.267,,,,,,,,,
