Instrument,Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (%),Proceeds Amount Incl Overallotment Sold All Markets,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Issuer/Borrower TRBC Economic Sector,Bookrunner Or Co-Managers,Master Deal Type,New Issues Offer Price,New Issues Fees: Gross Spread as Pct of Principal Amount This Market.1,Adjusted Offer Price,Stock Price at Close of Issue Date,Issuer Stock Price 1 Day Prior to Filing Date,ISIN,RICs,bestMatch,symbol,error,best_RIC,RIC_LSE
154084747577,154084747577,2220014,EC,BM,BM,2007-02-22,Naya Bharat Property Company Plc,4297722336.0,IPO,Live,Isle of Man,2007-02-14,,60.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Real Estate,Panmure Gordon & Co Ltd,Euro & Foreign Common Stock,1.0,-999.0,1.0,,,IM00B1N95Z00,"['LP65068171^H08', 'LP65068171^I11', 'NBPC.L^L10', 'NBPCl.INS^K08', 'NBPCgb.PZ^L10', 'NBPC.PO^L08']",{'error': 'No best match available'},IM00B1N95Z00,,,
154084747690,154084747690,2239551,UKC,BM,BM,2007-04-25,Bglobal PLC,4295897346.0,IPO,Live,United Kingdom,2007-04-10,,7.75,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Industrials,Charles Stanley Group PLC,UK Common Stock,0.5,-999.0,0.128,1.227,,GB00B1VLV059,"['BGBL.L^I14', 'BGBL.BE^I14', 'BGBLgb.ISD^I14', 'BGBLgb.PZ^A12', 'BGBL.mEUR^I13', 'BGBL.TG^I14', 'BGBL.PO^L08', 'BGBLl.BCO^A15', 'BGBL.mGBP^D12', 'BGBLl.INS^K08']",{'error': 'No best match available'},GB00B1VLV059,,,
154084747695,154084747695,2239587,EC,BM|JL|JL|GL,BM|JL|JL,2007-04-20,Volga Gas PLC,4295897829.0,IPO,Live,United Kingdom,2007-04-25,,124.999998,London AIM,Ordinary Or Common Shares,Firm Commitment|Offer for Subscription,na,Energy,Renaissance Capital Group|Renaissance Securities Corp.|KBC Peel Hunt Ltd,Euro & Foreign Common Stock,6.0,-999.0,6.0,,,GB00B1VN4809,"['VGAS.L^D21', 'VGAS.F^D21', 'VGASl.TRE^D21', 'VGAS.DE^E11', 'VLGGF.PK^J11', 'VLGGF.PQ^D21', 'VLGGF.PK^D21', 'VGAS.BE^D21', 'VGAS.SG^D21', 'VGASgb.PZ^A12', 'VGASgb.NXX^D21', 'VGAS.rEUR^J09', 'VGAS.DEU^D21', 'VGASGBP.PZp^B09', 'VGAS.PO^L08', 'VGASl.BCO^G21', 'VGAS.rGBP^J09', 'VGAS.mEUR^K14', 'VGASl.TWEA^I20', 'VGASl.TRU^D21', 'VGASl.BCU^G21', 'VGAS.mGBP^K14', 'VGAS.TG^G13']",{'error': 'No best match available'},GB00B1VN4809,,,
154084747791,154084747791,2257379,EC,JB|JB,JB|JB,2007-05-31,The Indian Film Co Ltd,4297891768.0,IPO,Live,Guernsey,,,55.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Elara Capital Advisors Ltd|Oriel Securities Limited,Euro & Foreign Common Stock,1.0,-999.0,1.98,,,GG00B1VX1S93,"['JS6.L^K10', 'JS6.BE^K10', 'JS6GBP.PZ^K10', 'JS6.TG^B11', 'JS6l.INS^K08', 'JS6.PO^L08']",{'error': 'No best match available'},GG00B1VX1S93,,,
154084747800,154084747800,2254134,EC,BM,BM,2007-06-06,Pressure Technologies PLC,4295897402.0,IPO,Live,United Kingdom,2007-05-29,,9.645297,London AIM,Ordinary Or Common Shares,Offer for Subscription|Firm Commitment|Offer for Sale,4.00000,Industrials,Brewin Dolphin Securities Ltd,Euro & Foreign Common Stock,1.5,4.0,2.988,3.337,,GB00B1XFKR57,"['PRES.L', 'PRES.SG', 'PRESl.TRE', 'PRES.F', 'PRES.BE', 'PRESgb.ASE', 'PRES.DEU', 'PRESl.TRU', 'PRESl.BCU', 'PRESgb.PZ^A12', 'PRES.mGBP^D12', 'PRESl.TRXA^G21', 'PRES.mEUR^D12', 'PRES.PO^L08', 'PRES.TG^E13', 'PRESl.BCO']",{'RIC': 'PRES.L'},GB00B1XFKR57,,,PRES.L
154084747923,154084747923,2230971,EC,BM,BM,2007-03-12,STM Group PLC,4295894289.0,IPO,Live,Gibraltar,,,7.5,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Industrials,Daniel Stewart Securities Plc,Euro & Foreign Common Stock,0.5,-999.0,0.966,,,IM00B1S9KY98,"['STMG.L', 'IQF.F', 'STMl.TRE', 'IQF.SG', 'IQF.BE', 'IQF.DEU', 'STMl.TRU', 'STMl.BCU', 'STMgb.PZ^A12', 'STMG.PO^L08', 'IQF.TG^K14', 'STMGl.INS^K08', 'STMl.BCO', 'STMl.TRXA']",{'RIC': 'STMG.L'},IM00B1S9KY98,,,STMG.L
154084748080,154084748080,2223145,EC,BM,BM,2007-03-12,Nighthawk Energy PLC,4295894903.0,IPO,Live,United Kingdom,,,10.0,London AIM|OTC,Ordinary Or Common Shares,Offer for Subscription,na,Energy,Hanson Westhouse LLP,Euro & Foreign Common Stock,0.25,-999.0,0.474,0.421,,GB00B156TD53,"['NGTE.L^G18', 'NGTE.DE^E11', 'HAWKl.TRE^G18', 'NGTE.F^G18', 'NHEGQ.PK^B19', 'NHEGQ.PQ^B19', 'NGTE.SG^G18', 'NGTE.BE^G18', 'NGTEGBP.STp^A18', 'NGTEEUR.STp^A18', 'HAWKgb.ISD^G18', 'HAWKgb.PZ^A12', 'NGTE.PO^L08', 'NGTE.TG^G16', 'NGTEl.INS^K08', 'NGTE.mGBP^D12', 'NGTE.rGBP^J09', 'HAWKl.BCO^B19', 'NGTE.mEUR^D12', 'NGTE.rEUR^J09', 'NGTE.DEU^G18']",{'error': 'No best match available'},GB00B156TD53,,,
154084748106,154084748106,2223506,EC,BM,BM,2007-03-06,Zeehan Zinc Ltd,,IPO,Live,Australia,2007-03-06,,8.99999997,London AIM,Ordinary Or Common Shares,Offer for Subscription|Best Efforts,na,Basic Materials,Libertas Capital Group Plc,Euro & Foreign Common Stock,0.195,-999.0,0.376,0.425,,AU0000XINEA1,,{'error': 'No best match available'},AU0000XINEA1,Unknown symbol,,
154084748245,154084748245,2256278,EC,BM,BM,2007-06-18,Vicorp Group PLC,4295896915.0,IPO,Live,United Kingdom,2007-05-29,,1.619,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Technology,SVS Securities Plc,Euro & Foreign Common Stock,0.04,-999.0,0.079,0.092,,GB00B1G5L683,"['VICP.L^D09', 'VICP.BE^D09', 'VICP.PZ^F07', 'VICP.PO^L08', 'VICP.PZ^D09']",{'error': 'No best match available'},GB00B1G5L683,,,
154084748423,154084748423,2244278,UKC,BM,BM,2007-05-03,Roxi Petroleum PLC,4295899022.0,IPO,Live,United Kingdom,2007-04-19,,38.92884616,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Energy,WH Ireland Ltd,UK Common Stock,0.38,-999.0,0.755,,,GB00B1W0VW36,"['CASPC.L', 'RXP.F', 'ROXIF.PK', 'CASPl.TRE', 'RXP.SG', 'ROXIF.PQ', 'RXP.BE', 'CASPl.TRU', 'RXP.DEU', 'CASPl.BCU', 'RXP.DE^E11', 'RXPEUR.PAp^K07', 'RXPEUR.DEp^K07', 'RXPl.INS^A08', 'RXPEUR.SGp^K07', 'RXPEUR.STp^K07', 'RXPEUR.OLp^K07', 'RXPgb.PZ^A12', 'RXP.PO^L08', 'CASPl.TBEA^E22', 'CASPl.TBEA^I21', 'CASPl.TRXA^K20', 'RXP.mGBP^D12', 'CASPl.TXEA^G23', 'RXP.mEUR^D12', 'CASPl.TWEA^J20', 'RXP.TG^J18', 'RXPl.INS^K08', 'RXPEUR.Ip^K07', 'CASPl.BCO']",{'RIC': 'CASPC.L'},GB00B1W0VW36,,,CASPC.L
154084748565,154084748565,2228928,EC,BM,BM,2007-04-10,Matica PLC,4295897768.0,IPO,Live,Italy,2007-03-13,,2.52,London AIM,Ordinary Or Common Shares,Offer for Subscription|Firm Commitment,na,Technology,Seymour Pierce Ltd,Euro & Foreign Common Stock,1.0,-999.0,0.986,2.12,,GB00B1S4QS09,"['MATI.L^C10', 'D6K.BE^C10', 'MATIGBP.PZ^C10', 'MATIl.INS^K08', 'MATI.PO^L08']",{'error': 'No best match available'},GB00B1S4QS09,,,
154084748630,154084748630,2224725,EC,BM|CL|GL,BM|CL,2007-04-02,Delek Global Real Estate Ltd,4295898943.0,IPO,Live,Jersey,2007-03-02,,110.58911,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Real Estate,Merrill Lynch & Co Inc|Panmure Gordon & Co Ltd,Euro & Foreign Common Stock,2.0,-999.0,3.955,3.999,,JE00B1S0VN88,"['DGRE.L^F09', 'DGREl.INS^K08', 'DGREGBP.PZ^F09', 'DGRE.rGBP^J09', 'DGRE.PO^L08']",{'error': 'No best match available'},JE00B1S0VN88,,,
154084748684,154084748684,1871851,UKC,BM,BM,2004-03-31,Asia Energy PLC,4295897666.0,IPO,Live,United Kingdom,2004-03-31,,11.21973675,London AIM,Ordinary Or Common Shares,Placement,na,Energy,WH Ireland Ltd,UK Common Stock,0.75,-999.0,1.384,,,GB00B00KV284,"['GCM.L', 'LFD.F', 'LFD.MU', 'GCLMF.PK', 'LFD.SG', 'GCMgb.ASE', 'GCMl.TRE', 'GCLMF.PQ', 'GCMl.TRU', 'GCMl.BCU', 'LFD.DEU', 'LFD.DE^E11', 'AENl.INS^B07', 'LFD.BE^A12', 'GCMgb.PZ^A12', 'GCMl.INS^K08', 'GCMl.TRXA^L21', 'GCMl.DAp^I20', 'GCMl.TRXA^K20', 'GCM.mEUR^D12', 'GCMl.TWEA^J20', 'GCM.mGBP^D12', 'GCM.rGBP^J09', 'GCMl.STp^H21', 'GCM.rEUR^J09', 'GCMx.I^F01', 'GCMl.TXEA^G23', 'LFD.TG^A12', 'GCM.PO^L08', 'GCMl.BCO']",{'RIC': 'GCM.L'},GB00B00KV284,,,GCM.L
154084748909,154084748909,1855760,UKC,BM,BM,2004-02-17,Torex Retail PLC,4295899042.0,IPO,Live,United Kingdom,2004-02-17,,47.0,London AIM,Ordinary Or Common Shares,Accelerated Bookbuilt,na,Technology,Evolution Beeson Gregory Ltd,UK Common Stock,0.4,-999.0,0.761,,,GB0034291632,"['TRX.L^G07', 'TRXRF.PK^I07', 'TRX.BE^H07', 'TRXl.INS^G07', 'TRX.PO^G07']",{'error': 'No best match available'},GB0034291632,,,
154084748993,154084748993,1867598,UKC,BM,BM,2004-05-04,Broker Network Holdings PLC,4295893849.0,IPO,Live,United Kingdom,2004-04-22,,2.64809126,London AIM,Ordinary Or Common Shares,Offer for Subscription|Placement,na,Financials,Brewin Dolphin Securities Ltd,UK Common Stock,0.71,-999.0,1.276,,,GB00B00GD538,"['BNH.L^A08', 'BNH.BE^A08', 'BNHl.INS^A08', 'BNH.mEUR^A08', 'BNH.mGBP^A08', 'BNH.PO^A08']",{'error': 'No best match available'},GB00B00GD538,,,
